"latitude","longitude","altitude (m)"
5.296683798,-72.480744879,489.9
5.298409222,-72.475754682,521.6
5.306635442,-72.459504073,403.3
5.311441401,-72.45550403,441.6
5.316245101,-72.444181898,437
5.322195071,-72.438396965,423.7
5.3260212,-72.431985275,483.5
5.335024927,-72.422927704,484.1
5.343082089,-72.41717104,475.8
5.349282098,-72.409724865,422.1
5.359529747,-72.40321507,357.7
5.365817876,-72.394642299,525
5.369990646,-72.386758891,516
5.380402043,-72.373499005,450.3
5.384797088,-72.365407433,433.5
5.38308132,-72.361894009,353
5.379932528,-72.366734726,372.9
5.376133717,-72.370396365,363.7
5.371229566,-72.374841849,384
5.366719665,-72.383896933,427.5
5.35573381,-72.393575418,345.2
5.352462789,-72.396279865,343.4
5.339179849,-72.407868826,347.9
5.334359952,-72.414234865,350.8
5.319714905,-72.429393069,420
5.312415453,-72.436123835,341
5.300649169,-72.447782819,299.1
5.293895271,-72.461127281,302
5.291597143,-72.469933701,331.3
5.286064489,-72.474365533,400.5
5.280015752,-72.468462847,302.1
5.281343548,-72.457120383,285.9
5.289455214,-72.44684996,284.6
5.2975768,-72.430160576,296.1
5.304715575,-72.419325293,302.2
5.315708373,-72.406920893,318.6
5.327072313,-72.400341089,327.9
5.334193998,-72.397052736,334.1
5.339198581,-72.39241291,339.6
5.343822143,-72.386808927,336.1
5.34787304,-72.381785037,334
5.354825955,-72.372891979,320.6
5.361978657,-72.366894063,310.4
5.370069159,-72.362448127,312.1
5.3741446,-72.35411925,300.9
5.365875465,-72.34887894,294.5
5.35254904,-72.358563154,303.6
5.34733278,-72.364371155,314.2
5.341539078,-72.373464718,318.5
5.33170755,-72.383325394,321.1
5.315906786,-72.397830041,312.5
5.304918864,-72.40421881,303.9
5.296425072,-72.416037407,293.7
5.28696153,-72.428827808,282.1
5.279808598,-72.439108539,283.9
5.274199975,-72.456353872,276.1
5.267058417,-72.456353755,270.9
5.262808396,-72.45074428,269.4
5.263967133,-72.440093623,262.7
5.270537771,-72.43621318,266.7
5.274589612,-72.431763773,264.9
5.279434458,-72.426314998,277.5
5.283302254,-72.419528707,285
5.289486787,-72.410805259,293.4
5.299909949,-72.396477435,300.2
5.306661735,-72.389703016,298.8
5.311675947,-72.384091998,303.7
5.32093027,-72.375580973,309.7
5.326331442,-72.368809031,306.1
5.334048059,-72.359326402,300.4
5.345816426,-72.351003105,296.6
5.355468098,-72.344224071,294.5
5.360498542,-72.335887646,286.5
5.347970254,-72.332579508,280
5.34005115,-72.339946502,284
5.339857714,-72.340334329,283.9
5.326538883,-72.353119762,292.2
5.3261528,-72.353507326,291.1
5.30956169,-72.372476358,297.4
5.303389288,-72.377119584,290.6
5.303003565,-72.377313002,290.7
5.292772717,-72.39802628,291.4
5.282151073,-72.408294238,282.6
5.27093864,-72.421478053,270.6
5.264357995,-72.4300164,262.8
5.257201161,-72.434095446,259.3
5.256625697,-72.427697132,257
5.260120071,-72.421094477,264.9
5.266309818,-72.413338297,267
5.272107851,-72.407330252,273
5.281002008,-72.393378599,282.4
5.290849294,-72.380211665,283.5
5.301463877,-72.366853352,289
5.314778242,-72.352527228,284.5
5.327708595,-72.339743808,284.2
5.337750083,-72.328888443,273.7
5.341229505,-72.324231422,271.9
5.337765899,-72.317237614,266.6
5.321934309,-72.321509668,264.8
5.313050328,-72.337597267,274
5.312085112,-72.3387604,274.5
5.312084921,-72.339148574,274.5
5.303397026,-72.357169146,283
5.289884547,-72.373431462,278.4
5.280038499,-72.383306212,280
5.266707302,-72.397446593,268
5.258580047,-72.412759734,264.5
5.257999829,-72.413147671,265.2
5.246214675,-72.411014609,258.9
5.246602239,-72.404036836,259.4
5.249696797,-72.398609384,261
5.256278664,-72.388529388,261.1
5.269025378,-72.3784573,266.9
5.277337517,-72.367997509,269.4
5.277723865,-72.367222588,270.9
5.27811013,-72.366835243,271.1
5.284867875,-72.361219776,271.6
5.295680637,-72.350377336,275.5
5.302822464,-72.342435391,273.3
5.307263954,-72.332158926,268.1
5.314605613,-72.315663993,261.5
5.317312365,-72.308480279,255.4
5.307852047,-72.305753769,249.1
5.29915944,-72.319144756,255.1
5.287961402,-72.338929617,262.1
5.280429267,-72.349197496,265.1
5.261491416,-72.365852058,258.6
5.254150064,-72.376316982,255.4
5.253763517,-72.376316758,255.5
5.245451353,-72.393178961,255.4
5.241003191,-72.399575365,257.5
5.234414781,-72.401130109,249.6
5.231526332,-72.397829411,257.3
5.235776346,-72.385809387,251
5.240027873,-72.372623853,246.4
5.248335336,-72.363900159,249.7
5.258969661,-72.348584865,248.8
5.269216282,-72.336375728,250.1
5.269216333,-72.336181765,250.1
5.276173106,-72.33425055,253.1
5.288534967,-72.316017754,249.2
5.29452211,-72.298726887,241.2
5.282928289,-72.304156043,238.5
5.27481007,-72.312300482,238.8
5.264573613,-72.328992491,246.1
5.263992976,-72.328991042,244.6
5.252402427,-72.342373112,245.5
5.251628639,-72.343148079,247.3
5.251435352,-72.343147924,247.8
5.239047347,-72.357683321,241.7
5.234023272,-72.366023504,240.9
5.233255614,-72.366605801,240.5
5.232871315,-72.366799853,239.4
5.226291465,-72.379405071,244.7
